dataset,model,acc_mean,acc_std,f1_macro_mean,f1_macro_std
real,random_forest,0.7424242424242424,0.018764064888664302,0.5732363741674656,0.06437404802576983
real,log_reg,0.7304839439167798,0.03445276415011854,0.4914819631934296,0.0286993427215186
real,dummy_most_frequent,0.5539122568973316,0.0033469018543645034,0.2376400298730396,0.0009210853871048031
ctgan,log_reg,0.629,0.022226110770892888,0.43618886205646107,0.015664645804541397
ctgan,random_forest,0.61,0.016733200530681523,0.42423255818331,0.0111698040771733
ctgan,dummy_most_frequent,0.4779999999999999,0.0024494897427831805,0.215605435944419,0.0007480500054308168
tvae,random_forest,0.781,0.03072458299147446,0.5994154563834025,0.05051165961759687
tvae,log_reg,0.7969999999999999,0.01939071942966529,0.5756064420771775,0.055155232863159896
tvae,dummy_most_frequent,0.594,0.0020000000000000018,0.2484309589059101,0.0005257519896426976
gan,random_forest,0.925,0.014832396974191295,0.9165394281704856,0.017363136919633825
gan,log_reg,0.9110000000000001,0.02267156809750929,0.9050201056519285,0.026480369858111728
gan,dummy_most_frequent,0.5519999999999999,0.00244948974278318,0.2371123327455658,0.0006775202414087404
