train_data,model,accuracy,f1_macro
real,log_reg,0.7619047619047619,0.5179388906632599
real,random_forest,0.6666666666666666,0.4565381708238851
real,dummy_most_frequent,0.5595238095238095,0.23918575063613232
gan,log_reg,0.6904761904761905,0.5395445134575569
gan,random_forest,0.6785714285714286,0.48622305529522025
gan,dummy_most_frequent,0.5595238095238095,0.23918575063613232
ctgan,log_reg,0.5952380952380952,0.40659563673262306
ctgan,random_forest,0.5238095238095238,0.3552765870585834
ctgan,dummy_most_frequent,0.5595238095238095,0.23918575063613232
tvae,random_forest,0.6309523809523809,0.4319263083308027
tvae,log_reg,0.5238095238095238,0.3442328042328042
tvae,dummy_most_frequent,0.5595238095238095,0.23918575063613232
